#SampleID	sample_label
FUS-11_S71_L001	FUS-11_S71_L001
FUS-15_S72_L001	FUS-15_S72_L001
FUS-17_S73_L001	FUS-17_S73_L001
FUS-18_S76_L001	FUS-18_S76_L001
FUS-1_S58_L001	FUS-1_S58_L001
FUS-20_S78_L001	FUS-20_S78_L001
FUS-21_S57_L001	FUS-21_S57_L001
FUS-22_S79_L001	FUS-22_S79_L001
FUS-23_S59_L001	FUS-23_S59_L001
FUS-24_S60_L001	FUS-24_S60_L001
FUS-27_S61_L001	FUS-27_S61_L001
FUS-28_S62_L001	FUS-28_S62_L001
FUS-29_S65_L001	FUS-29_S65_L001
FUS-30_S66_L001	FUS-30_S66_L001
FUS-31_S67_L001	FUS-31_S67_L001
FUS-32_S68_L001	FUS-32_S68_L001
FUS-33_S69_L001	FUS-33_S69_L001
FUS-35_S74_L001	FUS-35_S74_L001
FUS-36_S75_L001	FUS-36_S75_L001
FUS-38_S77_L001	FUS-38_S77_L001
FUS-39_S63_L001	FUS-39_S63_L001
FUS-5_S64_L001	FUS-5_S64_L001
FUS-9_S70_L001	FUS-9_S70_L001
FUS-PTC_S81_L001	FUS-PTC_S81_L001
